2025-04-03 11:40:13 [INFO]: Loading Overrides...
2025-04-03 11:40:13 [INFO]: Loading World Types...
2025-04-03 11:40:13 [INFO]: - World Type for 'world' set to 'NORMAL'
2025-04-03 11:40:13 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2025-04-03 11:40:13 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2025-04-03 11:40:13 [INFO]: Loading Defaults...
2025-04-03 11:40:13 [INFO]: Loading Custom Worlds...
2025-04-03 11:40:13 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2025-04-03 11:40:13 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2025-04-03 11:40:13 [SEVERE]: The particle 'EXPLOSION_NORMAL' created a fatal error when loading particles! Your MC version isn't supported!
2025-04-03 11:40:14 [INFO]: Database PLAYERS:Players configured and loaded!
2025-04-03 11:40:14 [INFO]: Database QUEUE:Queue configured and loaded!
2025-04-03 11:40:14 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2025-04-03 11:40:14 [INFO]: Database COOLDOWN:world configured and loaded!
2025-04-03 11:40:14 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2025-04-03 11:40:14 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2025-04-03 11:40:14 [INFO]: Attempting to queue up some more safe locations...
2025-04-03 11:40:19 [INFO]: Queue position generated: id= default_world, database_ID= 1, location= x: -29, y: 64, z: -71, world: world
2025-04-03 11:40:25 [INFO]: Queue position generated: id= default_world, database_ID= 2, location= x: 872, y: 75, z: 915, world: world
2025-04-03 11:40:29 [INFO]: Queue position generated: id= default_world, database_ID= 3, location= x: 416, y: 88, z: -72, world: world
2025-04-03 11:40:35 [INFO]: Queue position generated: id= default_world, database_ID= 4, location= x: -802, y: 75, z: -724, world: world
2025-04-03 11:40:45 [INFO]: Queue position generated: id= default_world, database_ID= 5, location= x: 14, y: 65, z: -785, world: world
2025-04-03 11:41:08 [INFO]: Queue position generated: id= default_world, database_ID= 6, location= x: 259, y: 74, z: -495, world: world
2025-04-03 11:41:14 [INFO]: Queue position generated: id= default_world, database_ID= 7, location= x: -897, y: 64, z: 44, world: world
2025-04-03 11:41:21 [INFO]: Queue position generated: id= default_world, database_ID= 8, location= x: 930, y: 92, z: 334, world: world
2025-04-03 11:41:25 [INFO]: Queue position generated: id= default_world, database_ID= 9, location= x: 490, y: 70, z: -987, world: world
2025-04-03 11:41:42 [INFO]: Queue position generated: id= default_world, database_ID= 10, location= x: 500, y: 63, z: 715, world: world
2025-04-03 11:41:46 [INFO]: Queue position generated: id= default_world, database_ID= 11, location= x: -438, y: 76, z: 442, world: world
2025-04-03 11:41:51 [INFO]: Queue position generated: id= default_world, database_ID= 12, location= x: -909, y: 78, z: -361, world: world
2025-04-03 11:41:53 [INFO]: Queue position generated: id= default_world, database_ID= 13, location= x: 588, y: 74, z: 708, world: world
2025-04-03 11:41:55 [INFO]: Queue position generated: id= default_world, database_ID= 14, location= x: 971, y: 67, z: 343, world: world
2025-04-03 11:42:11 [INFO]: Queue position generated: id= default_world, database_ID= 15, location= x: 541, y: 63, z: -609, world: world
2025-04-03 11:42:30 [INFO]: Queue position generated: id= default_world, database_ID= 16, location= x: 832, y: 69, z: 666, world: world
2025-04-03 11:42:38 [INFO]: Queue position generated: id= default_world, database_ID= 17, location= x: 981, y: 80, z: -676, world: world
2025-04-03 11:42:42 [INFO]: Queue position generated: id= default_world, database_ID= 18, location= x: 180, y: 69, z: 117, world: world
2025-04-03 11:42:43 [INFO]: Max attempts to create a Queue reached for default_world (amount: 18)
2025-04-03 11:42:47 [INFO]: Queue position generated: id= default_world_the_end, database_ID= 19, location= x: 803, y: 57, z: -738, world: world_the_end
2025-04-03 11:43:08 [INFO]: Queue position generated: id= default_world_the_end, database_ID= 20, location= x: 885, y: 63, z: 953, world: world_the_end
2025-04-03 11:43:25 [INFO]: Queue position generated: id= default_world_the_end, database_ID= 21, location= x: 690, y: 58, z: -750, world: world_the_end
2025-04-03 11:43:29 [INFO]: Queue position generated: id= default_world_the_end, database_ID= 22, location= x: 820, y: 57, z: 961, world: world_the_end
2025-04-03 11:43:42 [INFO]: Queue position generated: id= default_world_the_end, database_ID= 23, location= x: -734, y: 62, z: 915, world: world_the_end
2025-04-03 11:43:56 [INFO]: Queue position generated: id= default_world_the_end, database_ID= 24, location= x: 968, y: 61, z: 375, world: world_the_end
2025-04-03 11:43:58 [INFO]: Queue position generated: id= default_world_the_end, database_ID= 25, location= x: 740, y: 60, z: -747, world: world_the_end
2025-04-03 11:44:03 [INFO]: Max attempts to create a Queue reached for default_world_the_end (amount: 7)
